vdd_V,vref_V
1.845000,0.647822473
1.850000,0.647842498
1.855000,0.647862517
1.860000,0.647882530
1.865000,0.647902538
1.870000,0.647922540
1.875000,0.647942537
1.880000,0.647962528
1.885000,0.647982513
1.890000,0.648002493
1.895000,0.648022467
1.900000,0.648042436
1.905000,0.648062400
1.910000,0.648082357
1.915000,0.648102310
1.920000,0.648122257
1.925000,0.648142198
1.930000,0.648162134
1.935000,0.648182065
1.940000,0.648201991
1.945000,0.648221911
1.950000,0.648241826
1.955000,0.648261735
1.960000,0.648281639
1.965000,0.648301538
1.970000,0.648321432
1.975000,0.648341320
1.980000,0.648361203
1.985000,0.648381081
1.990000,0.648400954
1.995000,0.648420822
2.000000,0.648440684
2.005000,0.648460542
2.010000,0.648480394
2.015000,0.648500241
2.020000,0.648520083
2.025000,0.648539920
2.030000,0.648559752
2.035000,0.648579578
2.040000,0.648599400
2.045000,0.648619217
2.050000,0.648639029
2.055000,0.648658835
2.060000,0.648678637
2.065000,0.648698434
2.070000,0.648718225
2.075000,0.648738012
2.080000,0.648757794
2.085000,0.648777571
2.090000,0.648797343
2.095000,0.648817110
2.100000,0.648836872
2.105000,0.648856630
2.110000,0.648876382
2.115000,0.648896130
2.120000,0.648915873
2.125000,0.648935610
2.130000,0.648955344
2.135000,0.648975072
2.140000,0.648994796
2.145000,0.649014514
2.150000,0.649034228
2.155000,0.649053938
2.160000,0.649073642
2.165000,0.649093342
2.170000,0.649113037
2.175000,0.649132727
2.180000,0.649152413
2.185000,0.649172094
2.190000,0.649191770
2.195000,0.649211441
2.200000,0.649231108
2.205000,0.649250770
2.210000,0.649270428
2.215000,0.649290081
2.220000,0.649309729
2.225000,0.649329373
2.230000,0.649349012
2.235000,0.649368647
2.240000,0.649388276
2.245000,0.649407902
2.250000,0.649427523
2.255000,0.649447139
2.260000,0.649466750
2.265000,0.649486358
2.270000,0.649505960
2.275000,0.649525558
2.280000,0.649545152
2.285000,0.649564741
2.290000,0.649584326
2.295000,0.649603906
2.300000,0.649623482
2.305000,0.649643053
2.310000,0.649662619
2.315000,0.649682182
2.320000,0.649701740
2.325000,0.649721293
2.330000,0.649740842
2.335000,0.649760387
2.340000,0.649779927
2.345000,0.649799463
2.350000,0.649818994
2.355000,0.649838521
2.360000,0.649858044
2.365000,0.649877563
2.370000,0.649897077
2.375000,0.649916586
2.380000,0.649936092
2.385000,0.649955593
2.390000,0.649975090
2.395000,0.649994582
2.400000,0.650014070
2.405000,0.650033554
2.410000,0.650053034
2.415000,0.650072509
2.420000,0.650091980
2.425000,0.650111447
2.430000,0.650130910
2.435000,0.650150368
2.440000,0.650169822
2.445000,0.650189272
2.450000,0.650208718
2.455000,0.650228159
2.460000,0.650247596
