temperature_C,vref_V
-40.0000,0.692520181
-35.0000,0.690141254
-30.0000,0.687963757
-25.0000,0.685985249
-20.0000,0.684201219
-15.0000,0.682605603
-10.0000,0.681191204
-5.0000,0.679950062
0.0000,0.678873744
5.0000,0.677953584
10.0000,0.677180873
15.0000,0.676547001
20.0000,0.676043571
25.0000,0.675662487
30.0000,0.675396036
35.0000,0.675236989
40.0000,0.675178740
45.0000,0.675215569
50.0000,0.675343100
55.0000,0.675559162
60.0000,0.675865312
65.0000,0.676269506
70.0000,0.676790665
75.0000,0.677466230
80.0000,0.678364202
85.0000,0.679601270
90.0000,0.681367791
95.0000,0.683957068
100.0000,0.687789207
105.0000,0.693410359
110.0000,0.701446959
115.0000,0.712517328
120.0000,0.727144510
125.0000,0.745730792
