temperature_C,vref_V
-40.0000,0.678472029
-35.0000,0.676101768
-30.0000,0.673933367
-25.0000,0.671964316
-20.0000,0.670190047
-15.0000,0.668604432
-10.0000,0.667200220
-5.0000,0.665969393
0.0000,0.664903465
5.0000,0.663993715
10.0000,0.663231375
15.0000,0.662607770
20.0000,0.662114428
25.0000,0.661743165
30.0000,0.661486153
35.0000,0.661336012
40.0000,0.661285932
45.0000,0.661329894
50.0000,0.661463089
55.0000,0.661682677
60.0000,0.661989175
65.0000,0.662388887
70.0000,0.662898103
75.0000,0.663550077
80.0000,0.664406253
85.0000,0.665573388
90.0000,0.667227648
95.0000,0.669644031
100.0000,0.673222982
105.0000,0.678496397
110.0000,0.686090779
115.0000,0.696642656
120.0000,0.710702543
125.0000,0.728691112
