run,vref_V
1,0.660288974
2,0.646203746
3,0.650750233
4,0.662314181
5,0.657590670
6,0.634224077
7,0.646273931
8,0.653401648
9,0.643552810
10,0.654374814
11,0.650543276
12,0.654966450
13,0.647513398
14,0.655572635
15,0.636453641
16,0.651628385
17,0.654038230
18,0.660445292
19,0.644873743
20,0.655365755
21,0.647685211
22,0.650834161
23,0.663252288
24,0.657316232
25,0.648023795
26,0.633427665
27,0.659111459
28,0.654191961
29,0.667437338
30,0.650678183
31,0.650784954
32,0.633040301
33,0.657967499
34,0.639439783
35,0.640643256
36,0.662864627
37,0.631452965
38,0.645699682
39,0.657913783
40,0.654894001
41,0.636276163
42,0.647290744
43,0.642236461
44,0.634666152
45,0.651117745
46,0.644992226
47,0.629653480
48,0.633737495
49,0.657770895
50,0.643573327
51,0.649761085
52,0.642155575
53,0.658324491
54,0.643665681
55,0.638060192
56,0.652453199
57,0.641242715
58,0.658834036
59,0.644656563
60,0.661351000
61,0.641002537
62,0.645470016
63,0.652464491
64,0.647885181
65,0.637590265
66,0.648601034
67,0.651206284
68,0.636486779
69,0.654561232
70,0.635506760
71,0.633704605
72,0.632099259
73,0.661784733
74,0.647271704
75,0.644734419
76,0.645870755
77,0.654957582
78,0.653580022
79,0.645676107
80,0.658664192
81,0.647903076
82,0.642369381
83,0.649468692
84,0.657422736
85,0.654220837
86,0.658344273
87,0.639241658
88,0.634110046
89,0.650902132
90,0.650841854
91,0.642357019
92,0.656453301
93,0.651074737
94,0.644116494
95,0.648042109
96,0.637489489
97,0.650626500
98,0.658916831
99,0.652698304
100,0.652956326
101,0.650075800
102,0.654285147
103,0.658916201
104,0.643788528
105,0.658754593
106,0.651310217
107,0.647852548
108,0.652249553
109,0.645628631
110,0.667312726
111,0.647001244
112,0.638195688
113,0.637654259
114,0.643535510
115,0.643927877
116,0.644695784
117,0.656121283
118,0.652867538
119,0.643154690
120,0.650103129
121,0.660495987
122,0.653767778
123,0.636592082
124,0.640747625
125,0.651391663
126,0.653414191
127,0.648139556
128,0.638573043
129,0.641025508
130,0.649409721
131,0.649670728
132,0.669636923
133,0.640178775
134,0.654817334
135,0.639812014
136,0.636672192
137,0.662634200
138,0.635939757
139,0.648014574
140,0.650792824
141,0.630197023
142,0.649106170
143,0.657182222
144,0.653660012
145,0.656092892
146,0.647883160
147,0.657136644
148,0.652062808
149,0.646520725
150,0.630456964
151,0.637081810
152,0.646229002
153,0.641892106
154,0.642010865
155,0.649418477
156,0.648334142
157,0.653114198
158,0.652644882
159,0.640839524
160,0.644282607
161,0.652533441
162,0.634107096
163,0.652743977
164,0.645106932
165,0.653209722
166,0.659032662
167,0.649761789
168,0.655127728
169,0.673030093
170,0.642002026
171,0.656841234
172,0.639655608
173,0.653025791
174,0.655138325
175,0.650908770
176,0.642122173
177,0.648264436
178,0.656952290
179,0.643040512
180,0.653328063
181,0.649455830
182,0.652228635
183,0.636032186
184,0.653428268
185,0.659438610
186,0.640840883
187,0.641526932
188,0.658628872
189,0.657279257
190,0.651710989
191,0.657061538
192,0.639625574
193,0.652539298
194,0.660825728
195,0.646720329
196,0.649474007
197,0.643656597
198,0.630310304
199,0.627041701
200,0.643688525
